unicode,latex
00020,"\space"
00023,"\#"
00024,"\textdollar"
00025,"\%"
00026,"\&"
00027,"\textquotesingle"
0002A,"\ast"
0005C,"\textbackslash"
0005E,"\^{}"
0005F,"\_"
00060,"\textasciigrave"
0007B,"\lbrace"
0007C,"\vert"
0007D,"\rbrace"
0007E,"\textasciitilde"
000A1,"\textexclamdown"
000A2,"\textcent"
000A3,"\textsterling"
000A4,"\textcurrency"
000A5,"\textyen"
000A6,"\textbrokenbar"
000A7,"\textsection"
000A8,"\textasciidieresis"
000A9,"\textcopyright"
000AA,"\textordfeminine"
000AB,"\guillemotleft"
000AC,"\lnot"
000AD,"\-"
000AE,"\textregistered"
000AF,"\textasciimacron"
000B0,"\textdegree"
000B1,"\pm"
000B2,"{^2}"
000B3,"{^3}"
000B4,"\textasciiacute"
000B5,"\mathrm{\mu}"
000B6,"\textparagraph"
000B7,"\cdot"
000B8,"\c{}"
000B9,"{^1}"
000BA,"\textordmasculine"
000BB,"\guillemotright"
000BC,"\textonequarter"
000BD,"\textonehalf"
000BE,"\textthreequarters"
000BF,"\textquestiondown"
000C0,"\`{A}"
000C1,"\'{A}"
000C2,"\^{A}"
000C3,"\~{A}"
000C4,"\""{A}"
000C5,"\AA"
000C6,"\AE"
000C7,"\c{C}"
000C8,"\`{E}"
000C9,"\'{E}"
000CA,"\^{E}"
000CB,"\""{E}"
000CC,"\`{I}"
000CD,"\'{I}"
000CE,"\^{I}"
000CF,"\""{I}"
000D0,"\DH"
000D1,"\~{N}"
000D2,"\`{O}"
000D3,"\'{O}"
000D4,"\^{O}"
000D5,"\~{O}"
000D6,"\""{O}"
000D7,"\texttimes"
000D8,"\O"
000D9,"\`{U}"
000DA,"\'{U}"
000DB,"\^{U}"
000DC,"\""{U}"
000DD,"\'{Y}"
000DE,"\TH"
000DF,"\ss"
000E0,"\`{a}"
000E1,"\'{a}"
000E2,"\^{a}"
000E3,"\~{a}"
000E4,"\""{a}"
000E5,"\aa"
000E6,"\ae"
000E7,"\c{c}"
000E8,"\`{e}"
000E9,"\'{e}"
000EA,"\^{e}"
000EB,"\""{e}"
000EC,"\`{\i}"
000ED,"\'{\i}"
000EE,"\^{\i}"
000EF,"\""{\i}"
